Player,Market Value,Club
Alisson,28,Liverpool FC
Abdallah Sima,7.5,Brighton & Hove Albion
Emiliano Marcondes,1.5,AFC Bournemouth
Dara Costelloe,0.325,Burnley FC
Erling Haaland,180,Manchester City
Julián Álvarez,90,Manchester City
Bruno Guimarães,85,Newcastle United
Rúben Dias,80,Manchester City
William Saliba,80,Arsenal FC
Enzo Fernández,75,Chelsea FC
Moisés Caicedo,75,Chelsea FC
Dominik Szoboszlai,75,Liverpool FC
Luis Díaz,75,Liverpool FC
Josko Gvardiol,75,Manchester City
James Maddison,70,Tottenham Hotspur
Douglas Luiz,70,Aston Villa
Kai Havertz,70,Arsenal FC
Bruno Fernandes,70,Manchester United
Gabriel Martinelli,70,Arsenal FC
Trent Alexander-Arnold,70,Liverpool FC
Bernardo Silva,70,Manchester City
Darwin Núñez,70,Liverpool FC
Rasmus Højlund,65,Manchester United
Ollie Watkins,65,Aston Villa
Jérémy Doku,65,Manchester City
Christopher Nkunku,65,Chelsea FC
Lucas Paquetá,65,West Ham United
Gabriel Jesus,65,Arsenal FC
Cristian Romero,60,Tottenham Hotspur
Marcus Rashford,60,Manchester United
Jack Grealish,60,Manchester City
Mohamed Salah,55,Liverpool FC
Moussa Diaby,55,Aston Villa
Pedro Neto,55,Wolverhampton Wanderers
João Palhinha,55,Fulham FC
Dejan Kulusevski,55,Tottenham Hotspur
Ben White,55,Arsenal FC
Amadou Onana,50,Everton FC
Levi Colwill,50,Chelsea FC
Cody Gakpo,50,Liverpool FC
Ivan Toney,50,Brentford FC
Jarrod Bowen,50,West Ham United
Diogo Jota,50,Liverpool FC
Kevin De Bruyne,50,Manchester City
Mohammed Kudus,50,West Ham United
Evan Ferguson,50,Brighton & Hove Albion
Matheus Nunes,50,Manchester City
Brennan Johnson,48,Tottenham Hotspur
João Pedro,45,Brighton & Hove Albion
Pedro Porro,45,Tottenham Hotspur
Sven Botman,45,Newcastle United
Heung-min Son,45,Tottenham Hotspur
Kaoru Mitoma,45,Brighton & Hove Albion
Ibrahima Konaté,45,Liverpool FC
Pau Torres,45,Aston Villa
Destiny Udogie,45,Tottenham Hotspur
Lisandro Martínez,45,Manchester United
Leon Bailey,42,Aston Villa
Reece James,40,Chelsea FC
Axel Disasi,40,Chelsea FC
Nathan Aké,40,Manchester City
Morgan Gibbs-White,40,Nottingham Forest
Joelinton,40,Newcastle United
Jurrien Timber,38,Arsenal FC
John Stones,38,Manchester City
Boubacar Kamara,38,Aston Villa
Richarlison,38,Tottenham Hotspur
Sandro Tonali,38,Newcastle United
Rico Lewis,38,Manchester City
Marc Guéhi,38,Crystal Palace
Oleksandr Zinchenko,38,Arsenal FC
Cheick Doucouré,35,Crystal Palace
André Onana,35,Manchester United
Mason Mount,35,Manchester United
Roméo Lavia,35,Chelsea FC
Guglielmo Vicario,35,Tottenham Hotspur
Rodrigo Bentancur,35,Tottenham Hotspur
Ezri Konsa,35,Aston Villa
Leandro Trossard,35,Arsenal FC
Harvey Elliott,35,Liverpool FC
Yves Bissouma,35,Tottenham Hotspur
Harvey Barnes,35,Newcastle United
Tino Livramento,35,Newcastle United
Nayef Aguerd,35,West Ham United
Edson Álvarez,35,West Ham United
Mykhaylo Mudryk,35,Chelsea FC
Nicolas Jackson,35,Chelsea FC
Ederson,35,Manchester City
Raheem Sterling,35,Chelsea FC
Diogo Dalot,35,Manchester United
Curtis Jones,35,Liverpool FC
Ryan Gravenberch,35,Liverpool FC
Jacob Ramsey,35,Aston Villa
David Raya,35,Arsenal FC
Joachim Andersen,35,Crystal Palace
Max Kilman,32,Wolverhampton Wanderers
Luke Shaw,32,Manchester United
Scott McTominay,32,Manchester United
Joe Willock,30,Newcastle United
Pervis Estupiñán,30,Brighton & Hove Albion
John McGinn,30,Aston Villa
Andrew Robertson,30,Liverpool FC
Eddie Nketiah,30,Arsenal FC
Tomas Soucek,30,West Ham United
Ibrahim Sangaré,30,Nottingham Forest
Benoît Badiashile,30,Chelsea FC
Virgil van Dijk,30,Liverpool FC
Mateo Kovacic,30,Manchester City
James Ward-Prowse,30,West Ham United
Simon Adingra,30,Brighton & Hove Albion
Joe Gomez,28,Liverpool FC
Mathias Jensen,28,Brentford FC
Matty Cash,28,Aston Villa
Danilo,28,Nottingham Forest
Ben Chilwell,28,Chelsea FC
Noni Madueke,28,Chelsea FC
Aaron Hickey,28,Brentford FC
Emiliano Martínez,28,Aston Villa
Vitaliy Mykolenko,28,Everton FC
Taiwo Awoniyi,28,Nottingham Forest
Sean Longstaff,25,Newcastle United
Marc Cucurella,25,Chelsea FC
Wesley Fofana,25,Chelsea FC
Hee-chan Hwang,25,Wolverhampton Wanderers
Alex Iwobi,25,Fulham FC
Oscar Bobb,25,Manchester City
Nathan Collins,25,Brentford FC
Tyrick Mitchell,25,Crystal Palace
Kalvin Phillips,25,West Ham United
Youri Tielemans,25,Aston Villa
Lesley Ugochukwu,25,Chelsea FC
Radu Drăgușin,25,Tottenham Hotspur
Aaron Ramsdale,25,Arsenal FC
Kurt Zouma,25,West Ham United
Ansu Fati,25,Brighton & Hove Albion
Antony,25,Manchester United
Jordan Pickford,22,Everton FC
Konstantinos Tsimikas,22,Liverpool FC
Emiliano Buendía,22,Aston Villa
Dwight McNeil,22,Everton FC
Julio Enciso,22,Brighton & Hove Albion
Emile Smith Rowe,22,Arsenal FC
Philip Billing,22,AFC Bournemouth
Fábio Vieira,22,Arsenal FC
Lewis Miley,22,Newcastle United
Marcos Senesi,22,AFC Bournemouth
Sofyan Amrabat,22,Manchester United
Dominic Calvert-Lewin,22,Everton FC
